sura,verse,word_no,word,pred,truth,truth_raw,truth_tags,n_pred,n_truth,category
2,5,6,وَأُولَئِكَ,و | أولئك,W | أولئك,W | أولئك,CONJ | REL_PRON,2,2,wrong_content
2,6,6,أَأَنْذَرْتَهُمْ,أ | أنذر | ة | هم,أ | أنذر | ت | هم,أ | أنذر | ت | هم,INTERROG | PV | SUBJ_PRON | OBJ_PRON,4,4,wrong_content
2,10,12,يَكْذِبُونَ,ي | كذب | ون,ي | كذب | و | ن,ي | كذب | و | ن,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,17,2,كَمَثَلِ,كمثل,ك | مثل,ك | مثل,PREP | NOUN_ABSTRACT,1,2,too_few_segments
2,19,2,كَصَيِّبٍ,كصيب,ك | صيب,ك | صيب,PREP | NOUN_ABSTRACT,1,2,too_few_segments
2,23,9,فَأْتُوا,فأ | ت | وا,ف | أت | وا,ف | أت | وا,CONJ | CV | SUBJ_PRON,3,3,wrong_content
2,24,9,وَقُودُهَا,و | قود | ها,وقود | ها,وقود | ها,NOUN_CONCRETE | POSS_PRON,3,2,too_many_segments
2,27,14,يُوصَلَ,يوصل,ي | وصل,ي | وصل,IMPERF_PREF | IV_PASS,1,2,too_few_segments
2,27,15,وَيُفْسِدُونَ,و | ي | فسد | ون,و | ي | فسد | و | ن,و | ي | فسد | و | ن,CONJ | IMPERF_PREF | IV | SUBJ_PRON | NOON_V5,4,5,too_few_segments
2,29,13,فَسَوَّاهُنَّ,ف | سوا | هن,ف | سوا | ه | ن,ف | سوا | ه | ن | None | None,CONJ | PV | OBJ_PRON | EMPHATIC_NUN | None | None,3,4,too_few_segments
2,30,5,إِنِّي,أن | ني,أن | ي,إن | ي,ANNUL_PART | POSS_PRON,2,2,wrong_content
2,30,24,إِنِّي,أن | ني,أن | ي,إن | ي,ANNUL_PART | POSS_PRON,2,2,wrong_content
2,30,25,أَعْلَمُ,أعلم,أ | علم,أ | علم,IMPERF_PREF | IV,1,2,too_few_segments
2,31,10,أَنْبِئُونِي,أنبئو | ني,أنبئ | و | ن | ي,أنبئ | و | ن | ي,CV | SUBJ_PRON | PROTECT_NUN | OBJ_PRON,2,4,too_few_segments
2,32,8,عَلَّمْتَنَا,علم | ة | نا,علم | ت | نا,علم | ت | نا,PV | SUBJ_PRON | OBJ_PRON,3,3,wrong_content
2,33,12,إِنِّي,أن | ني,أن | ي,إن | ي,ANNUL_PART | POSS_PRON,2,2,wrong_content
2,33,13,أَعْلَمُ,أعلم,أ | علم,أ | علم,IMPERF_PREF | IV,1,2,too_few_segments
2,33,17,وَأَعْلَمُ,و | أعلم,و | أ | علم,و | أ | علم,CONJ | IMPERF_PREF | IV,2,3,too_few_segments
2,35,7,وَكُلَا,و | كلا,و | كل | ا,و | كل | ا,CONJ | CV | SUBJ_PRON,2,3,too_few_segments
2,35,13,تَقْرَبَا,ت | قربا,ت | قرب | ا,ت | قرب | ا,IMPERF_PREF | IV | SUBJ_PRON,2,3,too_few_segments
2,35,16,فَتَكُونَا,ف | ت | كو | نا,ف | ت | كون | ا,ف | ت | كون | ا,CONJ | IMPERF_PREF | IV | SUBJ_PRON,4,4,wrong_content
2,36,6,كَانَا,كا | نا,كان | ا,كان | ا,PV | SUBJ_PRON,2,2,wrong_content
2,38,6,يَأْتِيَنَّكُمْ,ي | أتين | كم,ي | أتي | ن | كم,ي | أتي | ن | كم,IMPERF_PREF | IV | EMPHATIC_NUN | OBJ_PRON,3,4,too_few_segments
2,40,1,يَابَنِي,يا | ب | ني,يا | بن | ي,يا | بن | ي,VOC_PART | NOUN_CONCRETE | NSUFF_MASC_PL_GEN,3,3,wrong_content
2,40,4,نِعْمَتِيَ,ن | عمت | ي,نعم | ت | ي,نعم | ت | ي,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,40,10,أُوفِ,أوف,أ | وف,أ | وف,IMPERF_PREF | IV,1,2,too_few_segments
2,46,4,مُلَاقُو,ملاقو,ملاق | و,ملاق | و,NOUN_ACTIVE_PART | NSUFF_MASC_PL_NOM,1,2,too_few_segments
2,47,1,يَابَنِي,يا | ب | ني,يا | بن | ي,يا | بن | ي,VOC_PART | NOUN_CONCRETE | NSUFF_MASC_PL_GEN,3,3,wrong_content
2,47,4,نِعْمَتِيَ,ن | عمت | ي,نعم | ت | ي,نعم | ت | ي,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,47,8,وَأَنِّي,و | أن | ني,و | أن | ي,و | أن | ي,CONJ | INF_ANNUL_PART | OTHER,3,3,wrong_content
2,47,9,فَضَّلْتُكُمْ,ف | ضل | ت | كم,فضل | ت | كم,فضل | ت | كم,PV | SUBJ_PRON | OBJ_PRON,4,3,too_many_segments
2,49,6,يَسُومُونَكُمْ,يسومون | كم,ي | سوم | ون | كم,ي | سوم | ون | كم | None | None,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None,2,4,too_few_segments
2,49,9,يُذَبِّحُونَ,ي | ذبح | ون,ي | ذبح | و | ن,ي | ذبح | و | ن,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,49,14,ذَلِكُمْ,ذل | كم,ذلك | م,ذلك | م,DEM_PRON_MS | OTHER,2,2,wrong_content
2,50,2,فَرَقْنَا,ف | رق | نا,فرق | نا,فرق | نا,PV | SUBJ_PRON,3,2,too_many_segments
2,51,2,وَاعَدْنَا,و | اعد | نا,واعد | نا,واعد | نا,PV | SUBJ_PRON,3,2,too_many_segments
2,51,5,لَيْلَةً,ل | يل | ة,ليل | ة,ليل | ة | (null),NOUN_ABSTRACT | NSUFF_FEM_SG | CASE_INDEF_GEN,3,2,too_many_segments
2,52,8,تَشْكُرُونَ,ت | شكر | ون,ت | شكر | و | ن,ت | شكر | و | ن,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,53,7,تَهْتَدُونَ,ت | هتد | ون,ت | هتد | و | ن,ت | هتد | و | ن,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,54,14,فَاقْتُلُوا,ف | اقتل | وا,ف | ا | قتل | وا,ف | ا | قتل | وا,CONJ | CV_PREF | CV | SUBJ_PRON,3,4,too_few_segments
2,54,16,ذَلِكُمْ,ذل | كم,ذلك | م,ذلك | م,DEM_PRON_MS | OTHER,2,2,wrong_content
2,55,8,نَرَى,نرى,ن | ري,ن | ري,IV1P | IV,1,2,too_few_segments
2,56,5,مَوْتِكُمْ,مو | ت | كم,موت | كم,موت | كم,GERUND | POSS_PRON,3,2,too_many_segments
2,56,7,تَشْكُرُونَ,ت | شكر | ون,ت | شكر | و | ن,ت | شكر | و | ن,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,57,14,ظَلَمُونَا,ظلمو | نا,ظلم | و | نا,ظلم | و | نا,PV | SUBJ_PRON | OBJ_PRON,2,3,too_few_segments
2,60,9,فَانْفَجَرَتْ,ف | ا | نفجر | ت,ف | انفجر | ت,ف | انفجر | ت,CONJ | PV | SUFF_FEM_TA,4,3,too_many_segments
2,60,11,اثْنَتَا,اثنتا,اثن | ت | ا,اثن | ت | ا,NOUN_NUM | SUFF_FEM_TA | NSUFF_FEM_DU_NOM,1,3,too_few_segments
2,61,9,فَادْعُ,ف | ادع,ف | ا | دع,ف | ا | دع,CONJ | CV_PREF | CV,2,3,too_few_segments
2,64,10,وَرَحْمَتُهُ,و | رحم | ة | ه,و | رحم | ت | ه,و | رحم | ت | ه,CONJ | GERUND | NSUFF_FEM_SG | POSS_PRON,4,4,wrong_content
2,64,11,لَكُنْتُمْ,لكن | تم,ل | كن | تم,ل | كن | تم,OTHER | PV | SUBJ_PRON,2,3,too_few_segments
2,66,5,يَدَيْهَا,يدي | ها,يد | ي | ها,يد | ي | ها,NOUN_ABSTRACT | NSUFF_FEM_DU_GEN | POSS_PRON,2,3,too_few_segments
2,67,12,أَتَتَّخِذُنَا,أ | تتخذ | نا,أ | ت | تخذ | نا,أ | ت | تخذ | نا,INTERROG | IMPERF_PREF | IV | OBJ_PRON,3,4,too_few_segments
2,67,13,هُزُوَاً,هز | وا,هزو | ا,هزو | ا,GERUND | CASE_INDEF_(ACC_GEN),2,2,wrong_content
2,67,15,أَعُوذُ,أعوذ,أ | عوذ,أ | عوذ,IMPERF_PREF | IV,1,2,too_few_segments
2,67,18,أَكُونَ,أكون,أ | كون,أ | كون,IMPERF_PREF | IV,1,2,too_few_segments
2,68,2,ادْعُ,ادع,ا | دع,ا | دع,CV_PREF | CV,1,2,too_few_segments
2,69,2,ادْعُ,ادع,ا | دع,ا | دع,CV_PREF | CV,1,2,too_few_segments
2,70,2,ادْعُ,ادع,ا | دع,ا | دع,CV_PREF | CV,1,2,too_few_segments
2,70,11,تَشَابَهَ,تشاب | ه,تشابه,تشابه,PV,2,1,too_many_segments
2,70,17,لَمُهْتَدُونَ,لمهتد | ون,ل | مهتد | ون,ل | مهتد | ون,OTHER | NOUN_ACTIVE_PART | NSUFF_MASC_PL_NOM,2,3,too_few_segments
2,71,21,فَذَبَحُوهَا,ف | ذبحو | ها,ف | ذبح | و | ها,ف | ذبح | و | ها,CONJ | PV | SUBJ_PRON | OBJ_PRON,3,4,too_few_segments
2,73,2,اضْرِبُوهُ,اضربو | ه,ا | ضرب | و | ه,ا | ضرب | و | ه,CV_PREF | CV | SUBJ_PRON | OBJ_PRON,2,4,too_few_segments
2,74,16,يَتَفَجَّرُ,يتفجر,ي | تفجر,ي | تفجر,IMPERF_PREF | IV,1,2,too_few_segments
2,74,22,يَشَّقَّقُ,يشقق,ي | شقق,ي | شقق,IMPERF_PREF | IV,1,2,too_few_segments
2,75,1,أَفَتَطْمَعُونَ,أفتطمع | ون,أ | ف | ت | طمع | ون,أ | ف | ت | طمع | ون | None | None,INTERROG | CONJ | IMPERF_PREF | IV | SUBJ_PRON | None | None,2,5,too_few_segments
2,75,7,فَرِيقٌ,ف | ريق,فريق,فريق | (null),NOUN_CONCRETE | CASE_DEF_GEN,2,1,too_many_segments
2,75,13,يُحَرِّفُونَهُ,ي | حرفون | ه,ي | حرف | و | ن | ه,ي | حرف | و | ن | ه,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5 | OBJ_PRON,3,5,too_few_segments
2,75,17,عَقَلُوهُ,عقلو | ه,عقل | و | ه,عقل | و | ه,PV | SUBJ_PRON | OBJ_PRON,2,3,too_few_segments
2,76,13,أَتُحَدِّثُونَهُمْ,أ | ت | حدثون | هم,أ | ت | حدث | ون | هم,أ | ت | حدث | ون | هم | None | None,INTERROG | IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None,4,5,too_few_segments
2,76,15,فَتَحَ,ف | تح,فتح,فتح,PV,2,1,too_many_segments
