surah,ayah,token_index,surface,plain,prev,next,gold,pred,candidates,certainty,needs_context,resolution_reason
1,7,5,غَيْرِ,غير,عَلَيْهِمْ,الْمَغْضُوبِ,ISM_MUARAB,ISM_MUARAB,,Certificate,False,MASAQ:25
2,4,3,بِمَا,بما,يُؤْمِنُونَ,أُنْزِلَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,4,8,مِنْ,من,أُنْزِلَ,قَبْلِكَ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,5,4,مِنْ,من,هُدَىً,رَبِّهِمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,6,1,إِنَّ,إن,,الَّذِينَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/letters_answers.json#4
2,8,3,مَنْ,من,النَّاسِ,يَقُولُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,9,7,إِلَّا,إلا,يَخْدَعُونَ,أَنْفُسَهُمْ,HARF,HARF,,Certificate,False,MASAQ:106
2,10,10,بِمَا,بما,أَلِيمٌ,كَانُوا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,17,8,مَا,ما,أَضَاءَتْ,حَوْلَهُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,19,3,مِنَ,من,كَصَيِّبٍ,السَّمَاءِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,19,13,مِنَ,من,آذَانِهِمْ,الصَّوَاعِقِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,20,20,إِنَّ,إن,وَأَبْصَارِهِمْ,اللَّهَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/letters_answers.json#4
2,21,8,مِنْ,من,وَالَّذِينَ,قَبْلِكُمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,22,9,مِنَ,من,وَأَنْزَلَ,السَّمَاءِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,22,14,مِنَ,من,بِهِ,الثَّمَرَاتِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,23,11,مِنْ,من,بِسُورَةٍ,مِثْلِهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,23,15,مِنْ,من,شُهَدَاءَكُمْ,دُونِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
