source_path,source_type,entry_count,keys,target_classes,closed_class,requires_context,notes
01_phonology/arabic_word_types.json,rule,231,id|word|letter_count|grammatical_category|description|word_type,,no,no,
01_phonology/i3lal.json,rule,26,id|type|word|original|explanation,,no,no,
01_phonology/letter_origins.json,rule,17,id|origin|sub_count|definition|letters|notes,,no,no,
01_phonology/phoneme_meaning.json,rule,15,id|phoneme_id|meaning|definition|example|detailed_explanation|is_deleted|edit_by,,no,no,
02_mabniyat/building_regulations.json,closed_class,4,id|title|description|example|notes|is_deleted|edited_by|created_at,meta,yes,no,
02_mabniyat/built_in_adverbs.json,closed_class,21,id|adverb_type|adverb|example_sentence|syntactic_analysis|semantic_analysis|al_bab_althani_id,ISM_MABNI,yes,no,
02_mabniyat/compound_number_details.json,closed_class,4,id|type|clarification|example|al_bab_althani_id|section_id,ISM_MUARAB,yes,no,
02_mabniyat/compound_numbers.json,closed_class,8,id|subject|clarification|example|al_bab_althani_id|section_id,ISM_MUARAB,yes,no,
02_mabniyat/conditional_letters_tools.json,closed_class,21,id|particle|example|grammatical_function|parsing|notes|al_bab_althani_id,HARF|ISM_MABNI,yes,yes,
02_mabniyat/coordinating_conjunctions.json,closed_class,23,id|letter|example|usages|notes|al_bab_althani_id,HARF,yes,no,
02_mabniyat/copulative_particle.json,closed_class,7,id|copulative_particle|indication|effect|example|al_bab_althani_id,HARF,yes,no,
02_mabniyat/demonstrative_pronouns.json,closed_class,53,id|name|example|gender|number_classification|distance|grammatical_status|semantic_analysis,ISM_MABNI,yes,no,
02_mabniyat/estimated_parsing_indeclinables.json,closed_class,4,id|title|description|example|notes,ISM_MABNI,yes,no,
02_mabniyat/functional_indeclinable_substitutes.json,closed_class,7,id|title|description|example|notes,ISM_MABNI,yes,no,
02_mabniyat/grammatical_construction_cases.json,closed_class,55,id|case_type|description|example|example_i3rab|notes|al_bab_althani_id,meta,yes,no,
02_mabniyat/hidden_pronouns.json,closed_class,11,id|example|type|reference|form|ruling|reason|al_bab_althani_id,ISM_MABNI,yes,no,
02_mabniyat/imperative_verb_building.json,closed_class,10,id|build_mark|condition|example|parse|al_bab_althani_id,FIIL,yes,no,
02_mabniyat/indeclinable_discourse_roles.json,closed_class,5,id|title|description|example|notes,meta,yes,no,
02_mabniyat/interrogative_letters_tools.json,closed_class,6,id|tool|type|question_about|example|parsing|al_bab_althani_id,ISM_MABNI|HARF,yes,yes,
02_mabniyat/interrogative_tools_categories.json,closed_class,17,id|tool|type|subject|example|explanation|al_bab_althani_id,ISM_MABNI,yes,no,
02_mabniyat/jazm_tools.json,closed_class,20,id|tool|category|applies_on|jazm_type|example|description|al_bab_althani_id,HARF,yes,no,
02_mabniyat/kinaya_names.json,closed_class,9,id|name|type|components|natural_properties|meaning_usage|usage_properties|example,JAMID,yes,no,
02_mabniyat/letters_answers.json,closed_class,10,id|particle|definition|usage|linguistic_variations|examples|notes|al_bab_althani_id,HARF,yes,no,
02_mabniyat/past_tense_conjugation_rules.json,closed_class,11,id|verb_type|definition|effect_on_conjugation|example|example_parse|notes|al_bab_althani_id,FIIL,yes,no,
02_mabniyat/preposition_meanings.json,closed_class,56,id|preposition|meaning|example|syntactic_effect|semantic_logical|al_bab_althani_id,HARF,yes,no,
