priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
1,PREP_MIN,مِن,مِنْ,MIN_IBTIDA_MAKAN,مِن لِابتِداء الغايَة المَكانيَّة,jar,start_of_spatial,أَن يَكون المَجرور مَكانًا,,التَّفريق عَن إلى,خَرَجتُ مِن البَيتِ,سُبْحَانَ الَّذِي أَسْرَى بِعَبْدِهِ لَيْلًا مِنَ الْمَسْجِدِ الْحَرَامِ,الإسراء:1,preferred,,3,75,0.95
2,PREP_MIN,مِن,مِنْ,MIN_IBTIDA_ZAMAN,مِن لِابتِداء الغايَة الزَّمانيَّة,jar,start_of_temporal,أَن يَكون المَجرور زَمانًا,,,مِن يَومِ الجُمعَةِ,مِنْ أَوَّلِ يَوْمٍ,التوبة:108,preferred,,3,76,0.95
3,PREP_MIN,مِن,مِنْ,MIN_TABEEDH,مِن لِلتَّبعيض — بَعض المَجرور,jar_partitive,partitive,حَيث يَكون التَّبعيض,,تَتَلَخَّص فيها كَلِمَة بَعض,أَكَلتُ مِن الطَّعامِ,خُذْ مِنْ أَمْوَالِهِمْ صَدَقَةً,التوبة:103,preferred,,3,79,0.95
4,PREP_MIN,مِن,مِنْ,MIN_BAYAN,مِن لِلبَيان — بَيان جِنس المُبهَم,jar_explanatory,clarification,بَعد مُبهَم يَحتاج تَفسيرًا,,,اشتَرَيتُ ثَوبًا مِن قُطنٍ,فَاجْتَنِبُوا الرِّجْسَ مِنَ الْأَوْثَانِ,الحج:30,preferred,,3,82,0.92
5,PREP_MIN,مِن,مِنْ,MIN_BADAL,مِن لِلبَدَل — بِمَعنى عِوَض,jar_substitute,exchange,قَرينَة دالَّة,,قَريبَة مِن الباء,أَخَذتُ هذا مِن هذا,أَرَضِيتُمْ بِالْحَيَاةِ الدُّنْيَا مِنَ الْآخِرَةِ,التوبة:38,preferred,,3,84,0.9
6,PREP_MIN,مِن,مِنْ,MIN_SABABIYYA,مِن لِلسَّبَبيَّة — بِسَبَب,jar_causal,causation,قَرينَة دالَّة عَلى السَّبَب,,,بَكى مِن الفَرَحِ,مِمَّا خَطِيئَاتِهِمْ أُغْرِقُوا,نوح:25,preferred,,3,86,0.92
7,PREP_MIN,مِن,مِنْ,MIN_ZAIDA,مِن الزَّائِدَة — لِلتَّوكيد بَعد نَفي أَو استِفهام,jar_redundant,emphasis_redundant,شُروط (نَفي/استِفهام، مَجرور نَكِرَة),,,ما جاءَني مِن أَحَدٍ,هَلْ مِنْ خَالِقٍ غَيْرُ اللَّهِ,فاطر:3,preferred,خِلاف هَل زائِدَة فِعلًا,3,89,0.88
8,PREP_AN,عَن,عَنْ,AN_MUJAWAZA,عَن لِلمُجاوَزَة — حَقيقيَّة أَو مَجازيَّة,jar,passing_beyond,أَن يَكون المَجرور حاجِزًا أَو مُتَخَطًّى,,التَّفريق عَن مِن,رَمَيتُ السَّهمَ عَن القَوسِ,وَمَا يَنْطِقُ عَنِ الْهَوَى,النجم:3,preferred,,3,107,0.95
9,PREP_AN,عَن,عَنْ,AN_BADAL,عَن لِلبَدَل — بِمَعنى عِوَض,jar_substitute,exchange,قَرينَة دالَّة,,,أَدَّيتُ هذا عَن زَيدٍ,لَا تَجْزِي نَفْسٌ عَنْ نَفْسٍ شَيْئًا,البقرة:48,preferred,,3,110,0.92
10,PREP_AN,عَن,عَنْ,AN_SABABIYYA,عَن لِلسَّبَبيَّة — بِمَعنى بِسَبَب,jar_causal,causation,قَرينَة دالَّة,,,تَرَكتُهُ عَن إِكراهٍ,وَمَا كَانَ اسْتِغْفَارُ إِبْرَاهِيمَ لِأَبِيهِ إِلَّا عَنْ مَوْعِدَةٍ,التوبة:114,preferred,,3,112,0.92
11,PREP_ALA,عَلى,عَلَى,ALA_ISTILA,على لِلِاستِعلاء — حَقيقيّ أَو مَجازيّ,jar,elevation,أَن يَكون المَجرور تَحتَ المُستَعلي,,التَّفريق عَن في,الكِتابُ عَلى المَكتَبِ,وَعَلَيْهَا وَعَلَى الْفُلْكِ تُحْمَلُونَ,المؤمنون:22,preferred,,3,75,0.95
12,PREP_ALA,عَلى,عَلَى,ALA_TAALIL,على لِلتَّعليل — تُشبِه لام التَّعليل,jar_purpose,purpose,قَرينَة سياقيَّة,,,شَكَرتُ على هَدِيَّتِك,وَلِتُكَبِّرُوا اللَّهَ عَلَى مَا هَدَاكُمْ,البقرة:185,preferred,,3,76,0.92
13,PREP_FI,في,فِي,FI_ZARFIYYA_MAKAN,في لِلظَّرفيَّة المَكانيَّة — احتِواء حَقيقيّ أَو مَجازيّ,jar,locative,أَن يَكون المَجرور وِعاء لِلفِعل,,التَّفريق عَن الباء وَ على,الماءُ في الكُوزِ,قَدْ سَمِعَ اللَّهُ قَوْلَ الَّتِي تُجَادِلُكَ فِي زَوْجِهَا,المجادلة:1,preferred,,3,55,0.95
14,PREP_FI,في,فِي,FI_ZARFIYYA_ZAMAN,في لِلظَّرفيَّة الزَّمانيَّة,jar,temporal,أَن يَكون المَجرور وِعاء زَمانيًّا,,,سافَرتُ في يَومِ الجُمعَةِ,فِي يَوْمِ نَحْسٍ مُسْتَمِرٍّ,القمر:19,preferred,,3,57,0.95
15,PREP_FI,في,فِي,FI_SABABIYYA,في لِلسَّبَبيَّة — حَيث يَكون السَّبَب وِعاءً لِلنَّتيجَة,jar_causal,causation,قَرينَة دالَّة,,,دَخَلَ النَّارَ في امرَأَةٍ,لَمَسَّكُمْ فِي مَا أَفَضْتُمْ فِيهِ عَذَابٌ عَظِيمٌ,النور:14,preferred,,3,60,0.92
