ref,position,word,volume,topic_id,meaning_id,operator,vocalized_form,source_part,source_page,confidence
1:1,0,بِسْمِ,3,PREP_BA,BA_ILSAQ,بِ,بِ,3,160,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_ISTIANA,بِ,بِ,3,162,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_SABABIYYA,بِ,بِ,3,164,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_MUSAHABA,بِ,بِ,3,166,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_ZARFIYYA,بِ,بِ,3,167,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_BADAL,بِ,بِ,3,168,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_MUQABALA,بِ,بِ,3,168,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_QASAM,بِ,بِ,3,170,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_TAADIYA,بِ,بِ,3,172,0.8
1:1,0,بِسْمِ,3,PREP_BA,BA_ZAIDA,بِ,بِ,3,174,0.8
1:1,0,بِسْمِ,4,QASAM_PARTICLES,QASAM_BA,بِ,بِ,4,127,0.8
1:1,1,ٱللَّهِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:1,2,ٱلرَّحْمَٰنِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:1,3,ٱلرَّحِيمِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:2,0,ٱلْحَمْدُ,0,ZERO,NO_MATCH,,,-,-,0.0
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_MILK,لِ,لِ,3,210,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_IKHTISAS,لِ,لِ,3,212,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_TAALIL,لِ,لِ,3,214,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_AAQIBA,لِ,لِ,3,216,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_TAWKID,لِ,لِ,3,220,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_TABLEEGH,لِ,لِ,3,221,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_JUHOOD,لِ,لِ,3,222,0.8
1:2,1,لِلَّهِ,3,PREP_LAM,LAM_TAKHALLUS,لِ,لِ,224,0.85,0.8
1:2,1,لِلَّهِ,4,JAZM_LAM_AMR,LAM_AMR,لِ,لِ,4,20,0.8
1:2,1,لِلَّهِ,4,SHART_LAM_JAWAB,LAM_JAWAB_LAW,لَ,لَ,4,72,0.8
1:2,1,لِلَّهِ,4,SHART_LAM_JAWAB,LAM_JAWAB_QASAM,لَ,لَ,4,75,0.8
1:2,1,لِلَّهِ,4,SHART_LAM_JAWAB,LAM_IBTIDA,لَ,لَ,4,77,0.8
1:2,1,لِلَّهِ,4,QASAM_JAWAB,LAM_JAWAB_QASAM_MUTHBAT,لَ,لَ,4,131,0.8
1:2,2,رَبِّ,3,PREP_RUBBA,RUBBA_TAQLEEL,رُبَّ,رُبَّ,3,140,0.92
1:2,2,رَبِّ,3,PREP_RUBBA,RUBBA_TAKTHEER,رُبَّ,رُبَّ,3,142,0.88
1:2,3,ٱلْعَٰلَمِينَ,0,ZERO,NO_MATCH,,,-,-,0.0
1:3,0,ٱلرَّحْمَٰنِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:3,1,ٱلرَّحِيمِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:4,0,مَٰلِكِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:4,1,يَوْمِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:4,2,ٱلدِّينِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:5,0,إِيَّاكَ,1,PRONOUN_MUNFASIL_NASB,2ND_SG_M_NASB_MUNFASIL,إِيَّاكَ,إِيَّاكَ,1,45,0.95
1:5,1,نَعْبُدُ,0,ZERO,NO_MATCH,,,-,-,0.0
1:5,2,وَإِيَّاكَ,3,WAW_ATAF,INJECTED:waw_atf_same_pattern,و,وَ,3,-,0.85
1:5,2,وَإِيَّاكَ,3,PREP_WAW,WAW_QASAM,وَ,وَ,3,99,0.8
1:5,2,وَإِيَّاكَ,3,PREP_WAW,WAW_RUBBA,وَ,وَ,103,0.85,0.8
1:5,2,وَإِيَّاكَ,4,QASAM_PARTICLES,QASAM_WAW,وَ,وَ,4,125,0.8
1:5,2,وَإِيَّاكَ,1,PRONOUN_MUNFASIL_NASB,2ND_SG_M_NASB_MUNFASIL,إِيَّاكَ,إِيَّاكَ,1,45,0.85
1:5,3,نَسْتَعِينُ,0,ZERO,NO_MATCH,,,-,-,0.0
1:6,0,ٱهْدِنَا,0,ZERO,NO_MATCH,,,-,-,0.0
1:6,1,ٱلصِّرَٰطَ,0,ZERO,NO_MATCH,,,-,-,0.0
1:6,2,ٱلْمُسْتَقِيمَ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,0,صِرَٰطَ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,1,ٱلَّذِينَ,1,RELATIVE,REL_PL_M,الَّذينَ,الَّذِينَ,1,119,0.95
1:7,2,أَنْعَمْتَ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,3,عَلَيْهِمْ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,4,غَيْرِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,5,ٱلْمَغْضُوبِ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,6,عَلَيْهِمْ,0,ZERO,NO_MATCH,,,-,-,0.0
1:7,7,وَلَا,3,PREP_WAW,WAW_QASAM,وَ,وَ,3,99,0.8
1:7,7,وَلَا,3,PREP_WAW,WAW_RUBBA,وَ,وَ,103,0.85,0.8
1:7,7,وَلَا,4,QASAM_PARTICLES,QASAM_WAW,وَ,وَ,4,125,0.8
1:7,7,وَلَا,4,JAZM_LA_NAHIYA,LA_NAHIYA,لا,لا,4,22,0.85
1:7,8,ٱلضَّآلِّينَ,0,ZERO,NO_MATCH,,,-,-,0.0
2:1,0,بِسْمِ,3,PREP_BA,BA_ILSAQ,بِ,بِ,3,160,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_ISTIANA,بِ,بِ,3,162,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_SABABIYYA,بِ,بِ,3,164,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_MUSAHABA,بِ,بِ,3,166,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_ZARFIYYA,بِ,بِ,3,167,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_BADAL,بِ,بِ,3,168,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_MUQABALA,بِ,بِ,3,168,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_QASAM,بِ,بِ,3,170,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_TAADIYA,بِ,بِ,3,172,0.8
2:1,0,بِسْمِ,3,PREP_BA,BA_ZAIDA,بِ,بِ,3,174,0.8
2:1,0,بِسْمِ,4,QASAM_PARTICLES,QASAM_BA,بِ,بِ,4,127,0.8
2:1,1,ٱللَّهِ,0,ZERO,NO_MATCH,,,-,-,0.0
2:1,2,ٱلرَّحْمَٰنِ,0,ZERO,NO_MATCH,,,-,-,0.0
2:1,3,ٱلرَّحِيمِ,0,ZERO,NO_MATCH,,,-,-,0.0
2:1,4,الٓمٓ,4,JAZM_LAM,LAM_NAFI_MUDARI_MADI,لَم,لَمْ,4,15,0.85
2:2,0,ذَٰلِكَ,1,DEMONSTRATIVE,DEMO_FAR_M_SG,ذَلِكَ,ذَلِكَ,1,95,0.95
2:2,1,ٱلْكِتَٰبُ,0,ZERO,NO_MATCH,,,-,-,0.0
2:2,2,لَا,4,JAZM_LA_NAHIYA,LA_NAHIYA,لا,لا,4,22,0.95
2:2,3,رَيْبَ,0,ZERO,NO_MATCH,,,-,-,0.0
2:2,4,ۛ,0,ZERO,NO_MATCH,,,-,-,0.0
2:2,5,فِيهِ,4,SHART_FA_IDH,FA_RABITA_JAWAB,فَ,فَ,4,85,0.8
2:2,6,ۛ,0,ZERO,NO_MATCH,,,-,-,0.0
2:2,7,هُدًى,0,ZERO,NO_MATCH,,,-,-,0.0
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_MILK,لِ,لِ,3,210,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_IKHTISAS,لِ,لِ,3,212,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_TAALIL,لِ,لِ,3,214,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_AAQIBA,لِ,لِ,3,216,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_TAWKID,لِ,لِ,3,220,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_TABLEEGH,لِ,لِ,3,221,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_JUHOOD,لِ,لِ,3,222,0.8
2:2,8,لِّلْمُتَّقِينَ,3,PREP_LAM,LAM_TAKHALLUS,لِ,لِ,224,0.85,0.8
2:2,8,لِّلْمُتَّقِينَ,4,JAZM_LAM_AMR,LAM_AMR,لِ,لِ,4,20,0.8
2:2,8,لِّلْمُتَّقِينَ,4,SHART_LAM_JAWAB,LAM_JAWAB_LAW,لَ,لَ,4,72,0.8
2:2,8,لِّلْمُتَّقِينَ,4,SHART_LAM_JAWAB,LAM_JAWAB_QASAM,لَ,لَ,4,75,0.8
2:2,8,لِّلْمُتَّقِينَ,4,SHART_LAM_JAWAB,LAM_IBTIDA,لَ,لَ,4,77,0.8
2:2,8,لِّلْمُتَّقِينَ,4,QASAM_JAWAB,LAM_JAWAB_QASAM_MUTHBAT,لَ,لَ,4,131,0.8
2:3,0,ٱلَّذِينَ,1,RELATIVE,REL_PL_M,الَّذينَ,الَّذِينَ,1,119,0.95
2:3,1,يُؤْمِنُونَ,0,ZERO,NO_MATCH,,,-,-,0.0
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_ILSAQ,بِ,بِ,3,160,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_ISTIANA,بِ,بِ,3,162,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_SABABIYYA,بِ,بِ,3,164,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_MUSAHABA,بِ,بِ,3,166,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_ZARFIYYA,بِ,بِ,3,167,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_BADAL,بِ,بِ,3,168,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_MUQABALA,بِ,بِ,3,168,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_QASAM,بِ,بِ,3,170,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_TAADIYA,بِ,بِ,3,172,0.8
2:3,2,بِٱلْغَيْبِ,3,PREP_BA,BA_ZAIDA,بِ,بِ,3,174,0.8
2:3,2,بِٱلْغَيْبِ,4,QASAM_PARTICLES,QASAM_BA,بِ,بِ,4,127,0.8
2:3,3,وَيُقِيمُونَ,3,PREP_WAW,WAW_QASAM,وَ,وَ,3,99,0.8
2:3,3,وَيُقِيمُونَ,3,PREP_WAW,WAW_RUBBA,وَ,وَ,103,0.85,0.8
