priority,name,kind,role_source,role_target,note
1,agent_of,subj_pred,فاعل,FIIL,الفاعِل لِلفِعل
2,patient_of,subj_pred,مفعول_به,FIIL,المَفعول لِلفِعل
3,patient2_of,subj_pred,مفعول_به_ثان,FIIL,المَفعول الثَّاني (لِأفعال يُعطي ونَحوها)
4,topic_of,topic_comment,مبتدأ,خبر,المُبتَدأ — المَوضوع المُسنَد إليه
5,comment_of,topic_comment,خبر,مبتدأ,الخَبَر — المُسنَد إلى المُبتدأ
6,inna_topic_of,topic_comment,اسم_إنّ,خبر_إنّ,اسم إنّ المَنصوب
7,inna_comment_of,topic_comment,خبر_إنّ,اسم_إنّ,خَبَر إنّ المَرفوع
8,kana_topic_of,topic_comment,اسم_كان,خبر_كان,اسم كان المَرفوع
9,kana_comment_of,topic_comment,خبر_كان,اسم_كان,خَبَر كان المَنصوب
10,possessor_of,possession,مضاف_إليه,مضاف,المُضاف إِليه — مالِك أَو مُحَدِّد
11,attribute_of,attribute,نعت,منعوت,النَّعت يَصِف المَنعوت
12,coordinate_of,coordination,معطوف,معطوف_عليه,المَعطوف يَتبَع المَعطوف عَلَيه
13,substitute_of,apposition,بدل,مبدل_منه,البَدَل يَحُلّ مَحَلّ المُبدَل مِنه
14,vocative_of,vocative,منادى,نداء_marker,المُنادى — مُخاطَب
15,harf_jarr_of,prep_phrase,اسم_مجرور,حرف_جر,الِاسم المَجرور — مَفعول لِحَرف الجَرّ
16,verb_in_clause,clause_anchor,FIIL,—,الفِعل = مِحوَر الجُملة الفِعليَّة
17,topic_anchor,clause_anchor,مبتدأ,—,المُبتَدأ = مِحوَر الجُملة الِاسميَّة
18,condition_tool_of,conditional,أداة_شرط,FIIL,أداة الشرط تدل على فعل الشرط
19,jawab_shart_of,conditional,جواب_شرط,FIIL,جواب الشرط يرتبط بفعل الشرط
