sura,verse,word_no,word,truth_root,category,v2_top1_wazn,v2_top1_root,v2_top1_conf,v2_top3_roots,top1_ok,top3_ok
1,1,1,بِسْمِ,سمي,weak,فِعْل,بسم,1.000,بسم | بسم | بسم,no,no
1,1,2,اللَّهِ,ءله,hamza_sound,اللَّهِ,ءله,1.000,ءله,yes,yes
1,1,3,الرَّحْمَنِ,رحم,sound,فَعْلَان,رحم,0.919,رحم | رحم | رحمن,yes,yes
1,1,4,الرَّحِيمِ,رحم,sound,فَعِيل,رحم,0.957,رحم | رحم | رحم,yes,yes
1,2,1,الْحَمْدُ,حمد,sound,فَعْل,حمد,0.931,حمد | حمد | حمد,yes,yes
1,2,2,لِلَّهِ,ءله,hamza_sound,لِلَّهِ,ءله,1.000,ءله,yes,yes
1,2,3,رَبِّ,ربب,geminate_sound,فَعْل,ربب,0.973,ربب | ربب | ربب,yes,yes
1,2,4,الْعَالَمِينَ,علم,sound,فَاعَل,علم,0.851,علم | علم | علم,yes,yes
1,3,1,الرَّحْمَنِ,رحم,sound,فَعْلَان,رحم,0.919,رحم | رحم | رحمن,yes,yes
1,3,2,الرَّحِيمِ,رحم,sound,فَعِيل,رحم,0.957,رحم | رحم | رحم,yes,yes
1,4,1,مَالِكِ,ملك,sound,مَالِكِ,N/A,1.000,N/A,,
1,4,2,يَوْمِ,يوم,weak,فَعْل,يوم,1.000,يوم | يوم | يوم,yes,yes
1,4,3,الدِّينِ,دين,weak,فِعل,دون,0.956,دون | دين | ودن,no,yes
1,5,1,إِيَّاكَ,ءيي,weak,فِعَال,ءيك,1.000,ءيك | ءيك | ءيو,no,no
1,5,2,نَعْبُدُ,,no_truth,نَفْعُل,عبد,0.957,عبد | عبد | عبد,,
1,5,3,وَإِيَّاكَ,ءيي,weak,فَعَال,ءيك,1.000,ءيك | ءيك | ءيك,no,no
1,5,4,نَسْتَعِينُ,عون,weak,نَسْتَفْعِلُ,عون,0.850,عون | عين | عون,yes,yes
1,6,1,اهْدِنَا,هدي,weak,افْعِل,هدن,0.957,هدن | هدن | هدن,no,no
1,6,2,الصِّرَاطَ,صرط,sound,فِعَال,صرط,0.957,صرط | صرط | صرط,yes,yes
1,6,3,الْمُسْتَقِيمَ,قوم,weak,مُسْتَفِعْل,قوم,0.956,قوم | قوم | قوم,yes,yes
1,7,1,صِرَاطَ,صرط,sound,فِعَال,صرط,1.000,صرط | صرط | صرط,yes,yes
1,7,2,الَّذِينَ,ءلل,geminate_sound,الَّذِينَ,الذين,1.000,الذين,,
1,7,3,أَنْعَمْتَ,نعم,sound,أَفْعَلْت,نعم,0.757,نعم | نعم | نعم,yes,yes
1,7,4,عَلَيْهِمْ,,no_truth,فَعَل,علو,0.956,علو | علو | علو,,
1,7,5,غَيْرِ,غير,weak,فَعْل,غير,1.000,غير | غور | وغر,yes,yes
1,7,6,الْمَغْضُوبِ,غضب,sound,مَفْعُول,غضب,0.973,غضب | غضب | مغضب,yes,yes
1,7,7,عَلَيْهِمْ,,no_truth,فَعَل,علو,0.956,علو | علو | علو,,
1,7,8,وَلَا,,no_truth,فَعل,ولي,1.000,ولي | ولا | ولي,,
1,7,9,الضَّالِّينَ,ضلل,geminate_sound,فَاعْل,ضلل,0.925,ضلل | ضلل | ضلل,yes,yes
2,1,1,الم,الم,weak,الم,N/A,1.000,N/A,,
2,2,1,ذَلِكَ,ذلك,sound,ذَلِكَ,ذلك,1.000,ذلك,,
2,2,2,الْكِتَابُ,كتب,sound,فِعَال,كتب,0.957,كتب | كتب | كتب,yes,yes
2,2,3,لَا,,no_truth,,,0.000,,,
2,2,4,رَيْبَ,ريب,weak,فَعَلَ,ريب,1.000,ريب | روب | ريب,yes,yes
2,2,5,فِيهِ,في,other,فِعل,فوه,1.000,فوه | وفه | فهو,no,no
2,2,6,هُدَىً,,no_truth,فُعَل,هدي,1.000,هدي | هدي | هدي,,
2,2,7,لِلْمُتَّقِينَ,وقي,weak,مُتَفَعَّل,قين,0.830,قين | قين | يقن,no,no
2,3,1,الَّذِينَ,ءلل,geminate_sound,الَّذِينَ,الذين,1.000,الذين,,
2,3,2,يُؤْمِنُونَ,,no_truth,يُفْعِلُ,ءمن,0.931,ءمن | ءمن | ءمن,,
2,3,3,بِالْغَيْبِ,غيب,weak,فَعْل,غيب,0.880,غيب | وغب | غيب,yes,yes
2,3,4,وَيُقِيمُونَ,,no_truth,فَعِيل,قوم,0.748,قوم | قمي | قمو,,
2,3,5,الصَّلَاةَ,,no_truth,فَعَلَة,صلو,0.903,صلو | صلي | صلو,,
2,3,6,وَمِمَّا,ما,other,فِعَل,يمم,0.990,يمم | مما | ومم,no,no
2,3,7,رَزَقْنَاهُمْ,,no_truth,,,0.000,,,
2,3,8,يُنْفِقُونَ,,no_truth,يُفْعِلُ,نفق,0.931,نفق | نفق | نفق,,
2,4,1,وَالَّذِينَ,ءلل,geminate_sound,وَالَّذِينَ,والذين,1.000,والذين,,
2,4,2,يُؤْمِنُونَ,,no_truth,يُفْعِلُ,ءمن,0.931,ءمن | ءمن | ءمن,,
2,4,3,بِمَا,ما,other,فِعَل,بما,1.000,بما | بما | بما,no,no
2,4,4,أُنْزِلَ,,no_truth,أُفْعِل,نزل,1.000,نزل | نزل | نزل,,
2,4,5,إِلَيْكَ,ءلي,weak,أَفَعْل,لوك,1.000,لوك | ءلو | لكي,no,no
2,4,6,وَمَا,ما,other,فَعَل,وما,1.000,وما | وما | وما,no,no
2,4,7,أُنْزِلَ,,no_truth,أُفْعِل,نزل,1.000,نزل | نزل | نزل,,
2,4,8,مِنْ,,no_truth,,,0.000,,,
2,4,9,قَبْلِكَ,قبل,sound,فَعْل,قبل,0.931,قبل | قبل | قبل,yes,yes
2,4,10,وَبِالْآخِرَةِ,,no_truth,,,0.000,,,
2,4,11,هُمْ,,no_truth,,,0.000,,,
2,4,12,يُوقِنُونَ,يقن,weak,يُفعِل,قين,0.824,قين | قنو | قني,no,no
2,5,1,أُولَئِكَ,ءلي,weak,أَفعَل,لءي,0.842,لءي | لءي | لءي,no,no
