surah,ayah,word_idx,surface,expected,expected_tag,predicted,source
1,2,3,رَبِّ,ISM_MUARAB,NOUN_CONCRETE,HARF,registry:plain:02_mabniyat/preposition_meanings.json#40
2,8,9,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,9,5,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,9,9,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,16,9,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,20,5,كُلَّمَا,ISM_MUARAB,NOUN_ABSTRACT,ISM_MABNI,registry:exact:02_mabniyat/conditional_letters_tools.json#17
2,25,13,كُلَّمَا,ISM_MUARAB,NOUN_ABSTRACT,ISM_MABNI,registry:exact:02_mabniyat/conditional_letters_tools.json#17
2,26,24,مَاذَا,HARF,INTERROG_PART,ISM_MABNI,registry:plain:02_mabniyat/interrogative_tools_categories.json#4
2,26,35,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,28,7,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,28,9,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,28,11,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,29,9,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,31,5,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,33,20,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,35,10,حَيْثُ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#1
2,51,6,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,52,1,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,56,1,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,57,13,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,58,8,حَيْثُ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#1
2,60,14,قَدْ,HARF,CERT_PART,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#99
2,64,1,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,71,18,الْآنَ,HARF,ADV,ISM_MABNI,registry:plain:02_mabniyat/built_in_adverbs.json#4
2,71,22,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,74,1,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,74,33,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,75,12,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,76,8,خَلَا,FIIL,PV,HARF,registry:exact:02_mabniyat/preposition_meanings.json#50
2,79,6,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,83,23,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,84,12,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,85,1,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,85,45,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,92,5,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,96,15,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,97,2,مَنْ,HARF,CONDITION_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,98,1,مَنْ,HARF,CONDITION_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,99,6,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,102,8,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,102,17,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,102,24,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,102,43,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,102,61,مَا,HARF,NEG_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,105,1,مَا,HARF,NEG_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,106,1,مَا,HARF,CONDITION_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,107,9,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,112,2,مَنْ,HARF,CONDITION_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,114,1,وَمَنْ,ISM_MAWSOOL,REL_PRON,HARF,MASAQ:1895
2,114,15,مَا,HARF,NEG_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,118,20,قَدْ,HARF,CERT_PART,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#99
2,120,24,مَا,HARF,NEG_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,126,4,رَبِّ,ISM_MUARAB,NOUN_CONCRETE,HARF,registry:plain:02_mabniyat/preposition_meanings.json#40
2,126,24,ثُمَّ,HARF,CONJ,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs.json#7
2,131,1,إِذْ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#13
2,133,4,إِذْ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#13
2,133,8,إِذْ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#13
2,134,3,قَدْ,HARF,CERT_PART,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#99
2,140,15,أَعْلَمُ,ISM_MUARAB,ADJ_COMP,FIIL,MASAQ:477
2,140,18,وَمَنْ,ISM_MAWSOOL,REL_PRON,HARF,MASAQ:1895
2,140,26,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,141,3,قَدْ,HARF,CERT_PART,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#99
2,142,17,مَنْ,HARF,PREP,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,143,13,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,143,21,مَنْ,HARF,PREP,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,143,36,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,144,1,قَدْ,HARF,CERT_PART,ISM_MABNI,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#99
2,144,30,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,145,8,مَا,HARF,NEG_PART,ISM_MAWSOOL,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,145,11,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,145,15,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,145,30,إِذَاً,HARF,ADV,ISM_MABNI,registry:plain:02_mabniyat/built_in_adverbs.json#21
2,149,2,حَيْثُ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#1
2,149,13,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,150,2,حَيْثُ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#1
2,156,2,إِذَا,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#21
2,164,17,وَمَا,HARF,NEG_PART,ISM_MAWSOOL,MASAQ:51
2,165,21,إِذْ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#13
2,166,1,إِذْ,HARF,ADV,ISM_MABNI,registry:exact:02_mabniyat/built_in_adverbs.json#13
