word,count,pred,truth,category
إِنِّي,131,أن | ني,أن | ي,wrong_content
فِي,53,في,على,wrong_content
أَلَّا,44,أن | لا,أن | Lا,wrong_content
ذَلِكُمْ,34,ذل | كم,ذلك | م,wrong_content
بَنِي,31,ب | ني,بن | ي,wrong_content
تَرَ,31,تر,ت | ر,too_few_segments
السَّمَاوَاتِ,31,ال | سماو | ات,ال | السماو | ات,wrong_content
وَأُولَئِكَ,25,و | أولئك,W | أولئك,wrong_content
يَرَوْا,24,ي | روا,ي | ر | وا,too_few_segments
أَخَافُ,20,أخاف,أ | خاف,too_few_segments
تَشْكُرُونَ,19,ت | شكر | ون,ت | شكر | و | ن,too_few_segments
عِنْدَهُ,19,عند | ه,عند | ح,wrong_content
تَرَى,19,ترى,ت | ري,too_few_segments
يَدَيْهِ,17,يدي | ه,يد | ي | ه,too_few_segments
نَفْسِهِ,17,ن | فسه,نفس | ه,wrong_content
تَدْعُونَ,16,ت | دع | ون,ت | دع | و | ن,too_few_segments
أَنِّي,15,أن | ني,أن | ي,wrong_content
عَلَيَّ,15,على | ي,علي,too_many_segments
الْمُبِينُ,15,ال | مب | ين,ال | مبين,too_many_segments
أُوتِيَ,14,أوت | ي,أوتي,too_many_segments
وَإِنِّي,14,و | أن | ني,و | أن | ي,wrong_content
يُوحَى,14,يوحى,ي | وحى,too_few_segments
كَمَثَلِ,13,كمثل,ك | مثل,too_few_segments
أُولُو,13,أولو,أول | و,too_few_segments
وَكِيلَاً,13,و | كيلا,وكيل | ا,wrong_content
وَجَدْنَا,13,و | جد | نا,وجد | نا,too_many_segments
رَحْمَتِهِ,13,رحم | ة | ه,رحم | ت | ه,wrong_content
فَرِيقٌ,12,ف | ريق,فريق,too_many_segments
عِيسَى,12,عيسى,عيسا,wrong_content
لِلْعَالَمِينَ,12,ل | ال | عالم | ين,ل | ل | عالم | ين,wrong_content
كِتَابَاً,12,ك | تاب | ا,كتاب | ا,too_many_segments
وَتَرَى,12,و | ترى,W | ت | رى,too_few_segments
تُوعَدُونَ,12,توعد | ون,ت | وعد | ون,too_few_segments
الْيَمِينِ,12,ال | يم | ين,ال | يمين,too_many_segments
يَابَنِي,11,يا | ب | ني,يا | بن | ي,wrong_content
هُزُوَاً,11,هز | وا,هزو | ا,wrong_content
مَوْتِهَا,11,مو | ت | ها,موت | ها,too_many_segments
بِي,11,ب | ي,B | ى,wrong_content
وَأَطِيعُونِ,11,و | أطيع | ون,و | أطيع | و | ن,too_few_segments
تَجِدَ,11,تجد,ت | جد,too_few_segments
أَسْأَلُكُمْ,11,أسأل | كم,أ | سأل | كم,too_few_segments
أَمَّنْ,11,أمن,أ | من,too_few_segments
أَإِذَا,11,أإذا,أ | إذا,too_few_segments
فَرِيقَاً,10,ف | ريق | ا,فريق | ا,too_many_segments
عَدُوَّاً,10,عد | وا,عدو | ا,wrong_content
تَبَيَّنَ,10,ت | بين,تبين,too_many_segments
وَيَعْقُوبَ,10,و | ي | عقوب,و | يعقوب,too_many_segments
يَأْتِ,10,يأ | ت,ي | أت,wrong_content
تَابُوا,10,ت | اب | وا,تاب | وا,too_many_segments
ذَلِكُمُ,10,ذل | كم,ذلك | م,wrong_content
وَعَدَ,10,و | عد,وعد,too_many_segments
اثْنَيْنِ,10,ا | ثن | ين,اثن | ين,too_many_segments
لَيَقُولُنَّ,10,ليقولن,ل | ي | قول | ن,too_few_segments
لِنَفْسِهِ,10,ل | ن | فسه,ل | نفس | ه,wrong_content
فَأْتُوا,9,فأ | ت | وا,ف | أت | وا,wrong_content
أَكُونَ,9,أكون,أ | كون,too_few_segments
تَكُونَنَّ,9,تكونن,ت | كون | ن,too_few_segments
يَسْأَلُونَكَ,9,ي | سألون | ك,ي | سأل | ون | ك,too_few_segments
فَلْيَتَوَكَّلِ,9,فليتوكل,ف | ل | ي | توكل,too_few_segments
وَكُلَّاً,9,وكل | ا,و | كل | ا,too_few_segments
نَفْسِي,9,ن | فسي,نفس | ي,wrong_content
لَكَاذِبُونَ,9,لكاذب | ون,ل | كاذب | ون,too_few_segments
لِأَبِيهِ,9,ل | أبي | ه,ل | أب | يه,wrong_content
أُوحِيَ,9,أوح | ي,أوحي,too_many_segments
وَيَاقَوْمِ,9,و | ياقوم,و | قوم | يا,too_few_segments
سِنِينَ,9,س | نين,سن | ين,wrong_content
رَوَاسِيَ,9,رواس | ي,رواسي,too_many_segments
أَإِنَّا,9,أإن | نا,أ | أن | نا,too_few_segments
أَعْلَمُ,8,أعلم,أ | علم,too_few_segments
وَقَالَتِ,8,و | قالت,و | قال | ت,too_few_segments
يَرَوْنَ,8,ي | رون,ي | ر | ون,too_few_segments
