ayah,token_index,surface,plain,gold_class,predicted_class,source,proof_kind,error_family
2:8,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:9,5,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:9,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:16,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:26,35,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:33,20,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:57,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:71,22,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:74,33,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:85,45,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:96,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:97,2,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:98,1,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:99,6,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:102,8,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:102,17,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:102,24,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:102,43,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:102,61,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:105,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:106,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:107,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:112,2,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:114,1,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
2:114,15,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:120,24,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:140,15,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
2:140,18,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
2:140,26,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:142,17,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:143,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:143,21,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:143,36,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:144,30,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:145,8,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:145,11,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:145,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:149,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:164,17,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:167,19,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:200,19,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:213,20,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:215,5,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:245,1,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:246,32,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:253,25,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:253,46,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
2:255,20,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
2:269,12,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:270,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
2:270,12,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:7,27,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:7,42,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:19,6,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
