flag,root,word,word_plain,segment,wazn,confidence,location,alternatives
no_root_found,N/A,مَالِكِ,مالك,مَالِكِ,مالك,1.000,1:4:1,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,1:7:2,
no_root_found,N/A,الم,الم,الم,الم,1.000,2:1:1,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:2:1,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:3:1,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:4:1,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:6:2,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:9:3,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:11:7,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:14:3,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:16:2,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:17:3,
no_root_found,N/A,ذَهَبَ,ذهب,ذَهَبَ,ذهب,1.000,2:17:10,
no_root_found,N/A,وَبَرْقٌ,وبرق,بَرْقٌ,برق,1.000,2:19:8,
no_root_found,N/A,الْبَرْقُ,البرق,بَرْقُ,برق,1.000,2:20:2,
no_root_found,N/A,لَذَهَبَ,لذهب,ذَهَبَ,ذهب,1.000,2:20:17,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:21:5,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:21:7,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:22:1,
no_root_found,N/A,الْأَرْضَ,الأرض,أَرْضَ,ارض,1.000,2:22:4,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:24:8,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:25:2,
no_root_found,N/A,الصَّالِحَاتِ,الصالحات,صَالِحَ,صالح,1.000,2:25:5,
closed_class_surface,هذا,هَذَا,هذا,هَذَا,closed_class,1.000,2:25:20,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:25:21,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:26:13,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:26:21,
closed_class_surface,هذا,بِهَذَا,بهذا,هَذَا,closed_class,1.000,2:26:27,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:27:1,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:27:17,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:29:2,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:29:7,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:30:8,
no_root_found,N/A,وَالْأَرْضِ,والأرض,أَرْضِ,ارض,1.000,2:33:16,
no_root_found,N/A,إِبْلِيسَ,إبليس,إِبْلِيسَ,ابليس,1.000,2:34:8,
closed_class_surface,هذه,هَذِهِ,هذه,هَذِهِ,closed_class,1.000,2:35:14,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:36:15,
no_root_found,N/A,تَبِعَ,تبع,تَبِعَ,تبع,1.000,2:38:10,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:39:1,
no_root_found,N/A,إِسْرَائِيلَ,إسرائيل,إِسْرَائِيلَ,اسراءيل,1.000,2:40:2,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:40:5,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:46:1,
no_root_found,N/A,إِسْرَائِيلَ,إسرائيل,إِسْرَائِيلَ,اسراءيل,1.000,2:47:2,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:47:5,
