line,sentence,n_words,n_matched,coverage,n_claims,top_topic,constructions,meanings
1,مَرَرْتُ بِزَيْدٍ,2,1,50.0,11,PREP_BA,—,«بِزَيْدٍ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
2,سِرْتُ مِنَ الْبَيْتِ,3,2,66.7,10,PREP_MIN,—,«سِرْتُ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب | «مِنَ»→اسم مَوصول عامّ لِلعاقِل (مُفرَدًا أَو جَمعًا، مُذَكَّرًا أَ
3,سِرْتُ إِلَى الْبَيْتِ,3,2,66.7,6,PREP_ILA,—,«سِرْتُ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب | «إِلَى»→إلى لِانتِهاء الغايَة المَكانيَّة — تَدُلّ عَلى آخِر المَكان
4,الْمَاءُ فِي الْكُوزِ,3,1,33.3,3,PREP_FI,—,«فِي»→في لِلظَّرفيَّة المَكانيَّة — احتِواء حَقيقيّ أَو مَجازيّ
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,4,1,25.0,3,PREP_AN,—,«عَنِ»→عَن لِلمُجاوَزَة — حَقيقيَّة أَو مَجازيَّة
6,وَاللَّهِ لَأَشْرَبَنَّ,2,2,100.0,16,PREP_LAM,—,«وَاللَّهِ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم | «لَأَشْرَبَنَّ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
7,بِاللَّهِ لَأَفْعَلَنَّ,2,2,100.0,24,PREP_BA,—,«بِاللَّهِ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل | «لَأَفْعَلَنَّ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,3,1,33.3,13,PREP_LAM,—,«لَأَضْرِبَنَّ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
9,الْمَالُ لِزَيْدٍ,2,1,50.0,13,PREP_LAM,—,«لِزَيْدٍ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,4,3,75.0,19,PREP_LAM,—,«رُبَّ»→رُبَّ لِلتَّقليل — تَدُلّ عَلى نُدرَة الوُقوع | «كَرِيمٍ»→الكاف لِلتَّشبيه — وَ هو الأَصل | «لَقِيتُهُ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,3,2,66.7,7,PREP_KAF,—,«وَلَيْلٍ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم | «كَمَوْجِ»→الكاف لِلتَّشبيه — وَ هو الأَصل
12,الْكِتَابُ عَلَى الْمَكْتَبِ,3,1,33.3,2,PREP_ALA,—,«عَلَى»→على لِلِاستِعلاء — حَقيقيّ أَو مَجازيّ
13,زَيْدٌ كَالْأَسَدِ,2,1,50.0,4,PREP_KAF,—,«كَالْأَسَدِ»→الكاف لِلتَّشبيه — وَ هو الأَصل
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,6,2,33.3,6,RELATIVE,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل | «مُذْ»→مُذ لِابتِداء الغايَة الزَّمانيَّة — تَدُلّ عَلى أَوَّل المُ
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,6,2,33.3,7,PREP_MUNDHU,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل | «مُنْذُ»→مُنذُ لِابتِداء الغايَة الزَّمانيَّة — مِثل مُذ بِزِيادَة ال
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,5,3,60.0,4,SIN_SAWFA,—,«سَلَامٌ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب | «هِيَ»→ضَمير الغائِبَة المُؤَنَّثَة المُفرَدَة | «حَتَّى»→حَتَّى لِانتِهاء الغايَة — تُشبِه إلى مَع دُخول المُنتَهى
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,4,1,25.0,1,PREP_HASHA,—,«حَاشَا»→حاشا لِلِاستِثناء — مِثل خَلا وَ عَدا،
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,4,1,25.0,1,PREP_ADA,—,«عَدَا»→عَدا لِلِاستِثناء — مِثل خَلا
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,4,1,25.0,1,PREP_KHALA,—,«خَلَا»→خَلا لِلِاستِثناء — تَكون حَرفًا فَتَجُرّ أَو فِعلًا فَتَنصِ
20,إِنَّ زَيْدًا قَائِمٌ,3,1,33.3,1,QASAM_JAWAB,—,«إِنَّ»→إِنَّ في جَواب القَسَم — تَوكيد الجَواب
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,4,2,50.0,13,PREP_BA,—,«بَلَغَنِي»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل | «أَنَّ»→إِن الشَّرطيَّة — حَرف جَزم لِفِعلَين (شَرط + جَواب) — أَصل 
22,كَأَنَّ زَيْدًا أَسَدٌ,3,1,33.3,6,PREP_KAF,—,«كَأَنَّ»→الكاف لِلتَّشبيه — وَ هو الأَصل
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,5,1,20.0,13,PREP_LAM,—,«لَكِنَّ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
24,لَيْتَ زَيْدًا طَائِرًا,3,1,33.3,13,PREP_LAM,—,«لَيْتَ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,3,1,33.3,13,PREP_LAM,—,«لَعَلَّ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
26,مَا زَيْدٌ ذَاهِبًا,3,1,33.3,5,RELATIVE,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل
27,لَا رَجُلَ مُسَافِرًا,3,1,33.3,1,JAZM_LA_NAHIYA,—,«لَا»→لا النَّاهيَة — لِطَلَب الكَفّ عَن الفِعل
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,3,1,33.3,3,PREP_WAW,—,«وَالْخَشَبَةَ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,4,1,25.0,1,JAZM_LA_NAHIYA,—,«إِلَّا»→لا النَّاهيَة — لِطَلَب الكَفّ عَن الفِعل
30,يَا رَسُولَ اللَّهِ,3,0,0.0,0,—,—,
31,أَيَّا جَمَّا ذَنْبَهُ,3,0,0.0,0,—,—,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,4,0,0.0,0,—,—,
33,أَيَّ تَائِبًا إِلَى رَبِّهِ,4,2,50.0,7,PREP_ILA,—,«أَيَّ»→اسم مَوصول مُعرَب — يُضاف وَ يَدُلّ عَلى ما يَدُلّ عَلَيه ال | «إِلَى»→إلى لِانتِهاء الغايَة المَكانيَّة — تَدُلّ عَلى آخِر المَكان
34,أَعْبُدِ اللَّهَ,2,0,0.0,0,—,—,
35,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ,4,1,25.0,2,SHART_IN,—,«أَنْ»→إِن الشَّرطيَّة — حَرف جَزم لِفِعلَين (شَرط + جَواب) — أَصل 
36,لَنْ يَنْجَحَ الْكَسْلَانُ,3,0,0.0,0,—,—,
37,جِئْتُكَ كَيْ أَتَعَلَّمَ,3,1,33.3,1,PREP_KAY,—,«كَيْ»→كَي لِلتَّعليل — تَنصِب الفِعل المُضارع بَعدَها
38,إِذًا تُفْلِحَ,2,1,50.0,2,SHART_IDHA,—,«إِذًا»→إِذا الشَّرطيَّة — أَداة شَرط غَير جازِمَة (ظَرف لِلمُستَقبَ
39,لَمْ يَكْتُبْ زَيْدٌ,3,1,33.3,1,JAZM_LAM,—,«لَمْ»→لَم لِنَفي المُضارع وَ قَلبه إلى المَعنى الماضي
40,لَمَّا أَكْتُبْ,2,1,50.0,19,PREP_LAM,—,«لَمَّا»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
41,لِيَنْصُرْ,1,1,100.0,13,PREP_LAM,—,«لِيَنْصُرْ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
42,لَا تَضْرِبْ,2,1,50.0,1,JAZM_LA_NAHIYA,—,«لَا»→لا النَّاهيَة — لِطَلَب الكَفّ عَن الفِعل
43,إِنْ تَضْرِبْ أَضْرِبْ,3,1,33.3,1,SHART_IN,—,«إِنْ»→إِن الشَّرطيَّة — حَرف جَزم لِفِعلَين (شَرط + جَواب) — أَصل 
44,مَنْ يَرْحَمْ يُرْحَمْ,3,1,33.3,9,PREP_MIN,—,«مَنْ»→اسم مَوصول عامّ لِلعاقِل (مُفرَدًا أَو جَمعًا، مُذَكَّرًا أَ
45,مَا تَفْعَلْ أَفْعَلْ,3,2,66.7,6,TAJAUB,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل | «أَفْعَلْ»→صيغَة التَّعَجُّب الثَّانيَة: أَفعِلْ بِه — صيغَة أَمر بِمَع
46,أَيَّا تَضْرِبْ أَضْرِبْهُ,3,0,0.0,0,—,—,
47,مَتَى تَكْتُبْ أَكْتُبْ,3,1,33.3,1,SHART_MATA,—,«مَتَى»→مَتى الشَّرطيَّة — اسم شَرط لِلزَّمان
48,مَهْمَا تَكْتُبْ أَكْتُبْ,3,0,0.0,0,—,—,
