surah,ayah,token_index,surface,plain,prev,next,gold_class,pred_class,candidates,certainty,source,proof_kind,error_family
1,2,3,رَبِّ,رب,لِلَّهِ,الْعَالَمِينَ,ISM_MUARAB,HARF,HARF,Certificate,registry:plain:02_mabniyat/preposition_meanings.json#40,Certificate,ISM_MUARAB_to_HARF
2,8,9,وَمَا,وما,الْآخِرِ,هُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,9,5,وَمَا,وما,آمَنُوا,يَخْدَعُونَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,9,9,وَمَا,وما,أَنْفُسَهُمْ,يَشْعُرُونَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,16,9,وَمَا,وما,تِجَارَتُهُمْ,كَانُوا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,20,5,كُلَّمَا,كلما,أَبْصَارَهُمْ,أَضَاءَ,ISM_MUARAB,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/conditional_letters_tools.json#17,Certificate,ISM_MUARAB_to_ISM_MABNI
2,25,13,كُلَّمَا,كلما,الْأَنْهَارُ,رُزِقُوا,ISM_MUARAB,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/conditional_letters_tools.json#17,Certificate,ISM_MUARAB_to_ISM_MABNI
2,26,24,مَاذَا,ماذا,فَيَقُولُونَ,أَرَادَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:plain:02_mabniyat/interrogative_tools_categories.js,Certificate,harf_vs_mabni
2,26,35,وَمَا,وما,كَثِيرَاً,يُضِلُّ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,28,7,ثُمَّ,ثم,فَأَحْيَاكُمْ,يُمِيتُكُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,28,9,ثُمَّ,ثم,يُمِيتُكُمْ,يُحْيِيكُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,28,11,ثُمَّ,ثم,يُحْيِيكُمْ,إِلَيْهِ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,29,9,ثُمَّ,ثم,جَمِيعَاً,اسْتَوَى,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,31,5,ثُمَّ,ثم,كُلَّهَا,عَرَضَهُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,33,20,وَمَا,وما,تُبْدُونَ,كُنْتُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,35,10,حَيْثُ,حيث,رَغَدَاً,شِئْتُمَا,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,51,6,ثُمَّ,ثم,لَيْلَةً,اتَّخَذْتُمُ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,52,1,ثُمَّ,ثم,,عَفَوْنَا,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,56,1,ثُمَّ,ثم,,بَعَثْنَاكُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,57,13,وَمَا,وما,رَزَقْنَاكُمْ,ظَلَمُونَا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,58,8,حَيْثُ,حيث,مِنْهَا,شِئْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,60,14,قَدْ,قد,عَيْنَاً,عَلِمَ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,64,1,ثُمَّ,ثم,,تَوَلَّيْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,71,18,الْآنَ,الآن,قَالُوا,جِئْتَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:plain:02_mabniyat/built_in_adverbs.json#4,Certificate,harf_vs_mabni
2,71,22,وَمَا,وما,فَذَبَحُوهَا,كَادُوا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,74,1,ثُمَّ,ثم,,قَسَتْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,74,33,وَمَا,وما,اللَّهِ,اللَّهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,75,12,ثُمَّ,ثم,اللَّهِ,يُحَرِّفُونَهُ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,76,8,خَلَا,خلا,وَإِذَا,بَعْضُهُمْ,FIIL,HARF,HARF,Certificate,registry:exact:02_mabniyat/preposition_meanings.json#50,Certificate,FIIL_to_HARF
2,79,6,ثُمَّ,ثم,بِأَيْدِيهِمْ,يَقُولُونَ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,83,23,ثُمَّ,ثم,الزَّكَاةَ,تَوَلَّيْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
