word,plain,reason,example,source
سَأَلَ,سال,seen is root letter,سَأَلَ زَيدٌ,classical lexicon
سَأَلْتُ,سالت,seen is root letter,سَأَلتُ زَيدًا,classical lexicon
يَسأَلُ,يسال,seen is root letter,يَسأَلُ النَّاسُ,quran
يَسْأَلُونَكَ,يسالونك,seen is root letter,يَسْأَلُونَكَ عَنِ الأَهِلَّةِ,البقرة:189
سَمِعَ,سمع,seen is root letter,سَمِعَ زَيدٌ,classical lexicon
سَمِعتُ,سمعت,seen is root letter,سَمِعتُ القُرآنَ,classical lexicon
يَسمَعُ,يسمع,seen is root letter,يَسمَعُ ما يَقولونَ,quran
السَّميعُ,السميع,seen is root letter,اللَّهُ السَّميعُ العَليمُ,البقرة:127
سَبَقَ,سبق,seen is root letter,سَبَقَ زَيدٌ,classical lexicon
يَسبِقُ,يسبق,seen is root letter,لا يَسبِقونَهُ بِالقَولِ,الأنبياء:27
سابِق,سابق,seen is root letter,سابِق فَأَنتَ تَنجَحُ,classical lexicon
سَجَدَ,سجد,seen is root letter,سَجَدَ المُسلِمونَ,classical lexicon
يَسجُدُ,يسجد,seen is root letter,يَسجُدُ المُؤمِنُ,quran
سُجود,سجود,seen is root letter,السُّجود لِلَّهِ,quran
السَّاجِدينَ,الساجدين,seen is root letter,مِنَ السَّاجِدينَ,الأعراف:11
سَارَ,سار,seen is root letter,سارَ القَومُ,classical lexicon
يَسيرُ,يسير,seen is root letter,يَسيرُ المُسافِرُ,quran
سَيرٌ,سير,seen is root letter,بَدَأَ السَّيرُ,classical lexicon
السَّيّارَة,السيارة,seen is root letter,جاءَتِ السَّيّارَة,يوسف:19
سَماء,سماء,seen is root letter,السَّماء البِناءُ,quran
السَّماواتِ,السماوات,seen is root letter,خَلقُ السَّماواتِ,quran
سُبحانَ,سبحان,seen is root letter,سُبحانَ اللَّهِ,quran
سُبُحاتٌ,سبحات,seen is root letter,سُبُحاتُ وَجهِهِ,hadith
سَلامٌ,سلام,seen is root letter,سَلامٌ عَلَيكُم,quran
السَّلامُ,السلام,seen is root letter,اللَّهُ السَّلامُ,الحشر:23
سَنَةٌ,سنة,seen is root letter,سَنَةٌ كامِلَةٌ,classical lexicon
سَنَواتٌ,سنوات,seen is root letter,بَعدَ سَنَواتٍ,classical lexicon
السِّنينَ,السنين,seen is root letter,مَرَّتِ السِّنينَ,quran
سُورَة,سورة,seen is root letter,سُورَةُ الفاتِحَةِ,quran
سَيِّدُنا,سيدنا,seen is root letter,سَيِّدُنا مُحَمَّدٌ,classical lexicon
السَّيِّدُ,السيد,seen is root letter,السَّيِّدُ المالِكُ,classical lexicon
سَفَرٌ,سفر,seen is root letter,سَفَرٌ طَويلٌ,classical lexicon
سافِرٌ,سافر,seen is root letter,رَجُلٌ سافِرٌ,classical lexicon
سَأَلتَ,سالت,seen is root letter,سَأَلتَ زَيدًا,quran
سَهلٌ,سهل,seen is root letter,طَريقٌ سَهلٌ,classical lexicon
سَريعٌ,سريع,seen is root letter,اللَّهُ سَريعُ الحِسابِ,البقرة:202
السَّاعَةُ,الساعة,seen is root letter,اقتَرَبَتِ السَّاعَةُ,القمر:1
ساكِنٌ,ساكن,seen is root letter,بَيتٌ ساكِنٌ,classical lexicon
السُّلطانُ,السلطان,seen is root letter,لا سُلطانَ لَكُم,quran
سَلِيمٌ,سليم,seen is root letter,قَلبٌ سَليمٌ,الشعراء:89
سَواءٌ,سواء,seen is root letter,سَواءٌ عَلَيهِم,البقرة:6
سَيِّئَةٌ,سيئة,seen is root letter,سَيِّئَةٌ مَكروهَةٌ,classical lexicon
السَّبيلُ,السبيل,seen is root letter,سَبيلُ الرَّشادِ,quran
سَنامٌ,سنام,seen is root letter,سَنامُ الجَمَلِ,classical lexicon
ساعِدٌ,ساعد,seen is root letter,ساعِدُ الرَّجُلِ,classical lexicon
سَيفٌ,سيف,seen is root letter,سَلَّ السَّيفَ,classical lexicon
سُكوتٌ,سكوت,seen is root letter,سُكوتٌ مُطبِقٌ,classical lexicon
سَمَكٌ,سمك,seen is root letter,اصطادَ سَمَكًا,classical lexicon
سُؤالٌ,سؤال,seen is root letter,سُؤالٌ مُهِمٌّ,classical lexicon
السُّجَّدِ,السجد,seen is root letter,مِنَ السُّجَّدِ,الحجر:98
